纱批,y_true,pred_ml_oof,pred_dl_oof,rel_err_ml,rel_err_dl,label_dl_better
H125-400164,313.4,287.3685302734375,299.0814208984375,0.08306148604253945,0.045687872052028074,1
H125-400387,280.0,259.749267578125,298.04437160491943,0.07232404436125628,0.06444418430098212,1
H224-110708N,301.8,281.9281005859375,296.3144302368164,0.06584459712857543,0.018176175490397094,1
H225-100001N,266.6,297.572509765625,254.11996841430664,0.11617595560563847,0.04681182139994472,1
H225-100021NV,272.0,264.3245849609375,254.98976707458496,0.02821843764257469,0.06253762104702082,0
H225-100022NV,382.0,391.6666564941406,381.14726543426514,0.02530538349185228,0.002232289439038064,1
H225-100044N,305.9,279.8911437988281,292.8480386734009,0.08502404772906706,0.04266741198487226,1
H225-100068,250.9,272.6734313964844,261.77101135253906,0.08678131285618396,0.0433280643766671,1
H225-100069N,263.9,284.3072509765625,288.789701461792,0.07732948456153554,0.09431489754016244,0
H225-100073N,226.2,249.69107055664062,227.25963592529297,0.1038508866295408,0.004684508953342772,1
H225-100074NV,265.0,253.63575744628906,257.86449909210205,0.04288393416332867,0.026926418519353526,1
H225-100075NV#,403.4,388.19610595703125,384.34038162231445,0.03768937541544828,0.047247442680250495,0
H225-100077N,309.1,333.3595275878906,329.12187576293945,0.07848439853479701,0.06477475173824548,1
H225-100082V#,229.3,225.1344451904297,221.92063331604004,0.018166396900953594,0.03218214864212015,0
H225-100083,221.6,225.879638671875,217.78700351715088,0.01931244887943087,0.01720666282796502,1
H225-100095N,245.7,255.88449096679688,248.21271896362305,0.04145091968409596,0.010226776408306026,1
H225-100106N,535.7,540.7898559570312,531.8606376647949,0.009501317821422795,0.007167000812270773,1
H225-100107NV,251.4,245.2494659423828,251.51216983795166,0.024465131493128647,0.00044618073964674886,1
H225-100108NV,397.9,406.26141357421875,419.7244167327881,0.021013856682605265,0.05484899907574672,0
H225-100110NV,235.6,252.20101928710938,273.05099964141846,0.07046273041767723,0.15896010033883218,0
H225-100111NV,408.2,393.53656005859375,420.58582305908203,0.035922194858027966,0.03034253566579769,1
H225-100119N,290.3,283.2104187011719,280.3619384765625,0.02442156837266249,0.03423376342781665,0
H225-100120N,487.5,455.7218933105469,463.72785568237305,0.06518585987446414,0.0487633729582345,1
H225-100133N,458.5,457.8459777832031,452.86521911621094,0.0014264388588497506,0.012289598437657942,0
H225-100134N,301.2,306.40478515625,315.3594732284546,0.017280163200787547,0.04701020328016102,0
H225-100153N,467.7,440.6541442871094,459.81149673461914,0.057827358803319094,0.016866588123181918,1
H225-100165N,296.5,276.4580993652344,296.71921730041504,0.06759494311665995,0.0007393500856918906,1
H225-100166N,380.9,452.0301818847656,474.39913749694824,0.1867424045232298,0.2454689879088831,0
H225-100168NV,220.4,244.5779571533203,256.95390701293945,0.10970035005545963,0.16585257264646516,0
H225-100169NV,396.8,384.5915832519531,388.157320022583,0.03076717930377826,0.021780947523183453,1
H225-100170N,332.0,320.7583923339844,300.1258850097656,0.03386026405324404,0.09600637044962142,0
H225-100171N,456.0,475.9273376464844,447.0421314239502,0.043700301855367045,0.019644448631257368,1
H225-100187NV,265.3,245.0432891845703,257.66375064849854,0.07635397970096554,0.028783450249580254,1
H225-100192N,304.2,321.6751403808594,305.5750370025635,0.057446220842488245,0.00452017423576031,1
H225-100196N,249.9,290.2896728515625,275.2070188522339,0.16162334073607948,0.10126858283801998,1
H225-100199N,575.6,514.1935424804688,517.9341316223145,0.10668251827391322,0.1001839269921538,1
H225-100201N,452.5,502.5171813964844,468.0335521697998,0.11053520750360005,0.03432829208719673,1
H225-100204N,310.5,340.029541015625,336.97521686553955,0.09510319167366817,0.08526639892008658,1
H225-100205N,268.5,300.65283203125,292.0093536376953,0.11974983996295159,0.08755811410361165,1
H225-100206N,334.0,371.67498779296875,364.02428150177,0.1127993646462298,0.08989305838584158,1
H225-100207N,210.6,208.40673828125,225.73866844177246,0.01041434814171819,0.07188351586445219,0
H225-100223N,380.5,431.9744873046875,347.6713180541992,0.13528117556723965,0.08627774492756374,1
H225-100224N,260.8,266.2812805175781,251.49641036987305,0.021017179897883213,0.03567327312028463,0
H225-100244NV,264.6,258.7934265136719,263.9207363128662,0.02194472216972298,0.002567134116054952,1
H225-100245NV,282.3,285.1413879394531,268.81089210510254,0.010065136164904223,0.047782883083314354,0
H225-100257NV,383.8,425.7745361328125,430.00621795654297,0.10936564911860039,0.12039139644434352,0
H225-100258N,203.2,226.78204345703125,230.47635555267334,0.11605336346393075,0.1342340332250542,0
H225-100288N,277.1,270.1274108886719,262.07849979400635,0.02516271783138405,0.05420967234013561,0
H225-100292NV,288.8,284.2607421875,289.9211645126343,0.01571765170478821,0.003882148589319406,1
H225-100297,294.7,280.4385986328125,286.4342212677002,0.048392946612499356,0.028048112426261665,1
H225-100311N,293.4,286.107177734375,300.7535934448242,0.02485624493993325,0.025063372340060015,0
H225-100313N,435.9,410.1938781738281,416.38355255126953,0.058972520820330644,0.04477276312980665,1
H225-100327NV,444.1,408.2328186035156,381.58795833587646,0.0807637500465588,0.14076118365844617,0
H225-100328N,185.2,200.3900146484375,203.75502109527588,0.08201951753573065,0.1001890987811771,0
H225-100331,315.1,299.4799499511719,314.07196521759033,0.04957172341584395,0.0032625667482610757,1
H225-100332,253.7,280.7335510253906,243.32027435302734,0.10655715815658283,0.04091338449571743,1
H225-100334,315.4,295.9354248046875,279.50117588043213,0.06171393530340945,0.11381998769318215,0
H225-100355N,254.0,225.71615600585938,238.6650562286377,0.11135371650798066,0.06037379437306522,1
H225-100358,280.6,255.14773559570312,241.81091785430908,0.09070657306981407,0.13823621576731496,0
H225-100369V,309.5,300.0121765136719,288.27691078186035,0.03065532628763028,0.06857217840857488,0
H225-100370V,266.7,273.82672119140625,265.20586013793945,0.026721864233742194,0.005602324191992922,1
H225-100385,500.5,473.642822265625,514.7078514099121,0.05366069477290388,0.02838731550375272,1
H225-100386,261.5,258.26788330078125,268.6354160308838,0.012359910895201342,0.027286485776714813,0
H225-100387,268.6,253.97682189941406,254.022479057312,0.05444221183932069,0.05427222986651261,0
H225-100388,249.7,252.9130859375,243.0227518081665,0.012867785091595248,0.026741082064741985,0
H225-100389,505.6,496.7588195800781,497.5442886352539,0.01748651190614524,0.015932973426793486,1
H225-100391N,219.1,213.5891571044922,197.89762496948242,0.02515218117415009,0.09677031049543527,0
H225-100405,278.8,285.145263671875,284.661865234375,0.022759195378936142,0.021025341585956724,1
H225-100406,478.2,484.4773864746094,455.3576946258545,0.013127115170385017,0.04776726343301511,0
H225-100413N,215.3,219.17918395996094,205.18591403961182,0.01801757528927427,0.046976711379091624,0
H225-100431,720.0,797.3543090820312,954.427433013916,0.1074365403902179,0.32559365695925013,0
H225-100434V,239.7,242.2855682373047,271.83032035827637,0.010786684343749822,0.13404388968266975,0
H225-100435V,260.5,286.0029602050781,301.9496440887451,0.09790003917120585,0.15911571626546625,0
H225-100436N,470.3,475.7095642089844,456.7453861236572,0.011502369144948628,0.028821207476195137,0
H225-100437,509.8,495.7906188964844,498.3210563659668,0.027480151242135806,0.022516562639874557,1
H225-100448N,375.4,356.41015625,350.707745552063,0.050585625331630586,0.06577585095172944,0
H225-100458NV,276.2,258.8383483886719,281.0567855834961,0.06285898483236613,0.017584306963505655,1
H225-100459,1014.0,949.5448608398438,935.9864234924316,0.06356522599558244,0.07693646598303648,0
H225-100460N,224.0,222.43617248535156,229.14648056030273,0.006981372832940284,0.02297535964318295,0
H225-100468N,209.1,245.544677734375,229.55169677734375,0.17429305467542838,0.09780821031260485,1
H225-100476,900.0,901.8007202148438,867.811107635498,0.0020008002386930467,0.03576543596016033,0
H225-100497,276.3,276.6481628417969,253.73132228851318,0.001260089908737831,0.08168178686453134,0
H225-100499N,244.6,245.67138671875,259.4167709350586,0.00438015829397467,0.06057551485876061,0
H225-100502,257.3,250.85867309570312,253.66454124450684,0.025034305884362777,0.014129260611550263,1
H225-100503N,296.4,290.3187255859375,274.67784881591797,0.02051712015471426,0.07328660993032775,0
H225-100505N,258.1,256.6141052246094,250.38080215454102,0.00575705065994993,0.029907779330336802,0
H225-100518,313.1,265.6127014160156,267.1427249908447,0.1516681526108838,0.14678145962212544,1
H225-100520,283.8,263.8941650390625,269.8720455169678,0.07014036279152962,0.04907665427252104,1
H225-100521,498.7,548.6997680664062,493.4760093688965,0.10026021268378515,0.01047521682574444,1
H225-100529N,325.1,302.8077697753906,298.3079195022583,0.06857037903390861,0.08241181327873762,0
H225-100530,365.1,364.7247314453125,343.71533393859863,0.0010278514233833037,0.05857207904907057,0
H225-100531,302.9,335.49493408203125,337.86840438842773,0.1076095545756196,0.11544537598967747,0
H225-100536,388.3,389.9803161621094,364.80305194854736,0.004327365856466881,0.06051235655639331,0
H225-100538,242.2,256.12786865234375,255.46092987060547,0.05750565091564288,0.054751981296688526,1
H225-100539N,308.4,314.41015625,304.1517972946167,0.019488184986397993,0.01377497634645113,1
H225-100540N,432.1,486.0361022949219,449.2630958557129,0.12482319438480356,0.03972019406460464,1
H225-100557,440.3,363.2000427246094,360.55262088775635,0.17510778395103238,0.1811205521472461,0
H225-100586,346.1,325.64996337890625,296.85778617858887,0.05908707489310286,0.1422774164114082,0
H225-100588N,354.5,318.6204528808594,303.61032485961914,0.10121169849965729,0.14355338544131263,0
H225-100589,994.0,1058.8634033203125,979.2293548583984,0.06525493291716293,0.01485980396524443,1
H225-100590N,216.9,248.90611267089844,212.5016212463379,0.14756160751232278,0.020278371385243573,1
H225-100592,335.8,337.55181884765625,337.14771270751953,0.005216851839202115,0.004013438676234025,1
H225-100626N,257.5,235.68067932128906,265.14902114868164,0.08473522593345081,0.029704936498580935,1
H225-100632V,267.2,257.64495849609375,256.54871463775635,0.03575988586657425,0.03986259491708464,0
H225-100646,374.3,377.2297058105469,358.13450813293457,0.007827159525697546,0.04318859702547036,0
H225-100647,482.7,514.0753173828125,477.6339054107666,0.06499962167425423,0.010495327510106555,1
H225-100648,325.1,321.1209716796875,316.65947437286377,0.012239398093479325,0.025962859510540216,0
H225-100650,275.6,285.9817199707031,278.5611152648926,0.03766952093732368,0.010744249872224646,1
H225-100665,376.0,341.1350402832031,377.5474786758423,0.09272595669114259,0.004115634776066831,1
H225-100668,341.4,300.8079528808594,305.20594120025635,0.11889879062083074,0.10601657527440968,1
H225-100669V,430.3,423.8243103027344,411.48881912231445,0.015049244009098637,0.04371643243608737,0
H225-100676,218.8,229.6678466796875,211.68968677520752,0.04967023162335825,0.03249686117215504,1
H225-100677N,262.1,262.5924377441406,229.4947624206543,0.0018788162690645328,0.1243999907596403,0
H225-100679,315.1,316.4684753417969,292.5238370895386,0.004342987438125745,0.07164761316961273,0
H225-100680,828.9,908.3350219726562,889.5048141479492,0.09583185181770776,0.0731147474330053,1
H225-100697V,310.3,275.3553466796875,272.3430633544922,0.1126157051859051,0.12232335367155846,0
H225-100698,357.9,326.4759826660156,337.17119693756104,0.08780111017911803,0.05791786270427428,1
